"Plot Title: Hayden_July2"
"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 21781579, SEN S/N: 21651401, LBL: pyrgV)","Pressure, mbar (LGR S/N: 21781579, SEN S/N: 21753118)","Solar Radiation, W/m² (LGR S/N: 21781579, SEN S/N: 21760240)","Temp, °C (LGR S/N: 21781579, SEN S/N: 21776055)","RH, % (LGR S/N: 21781579, SEN S/N: 21776055)","Wind Speed, m/s (LGR S/N: 21781579, SEN S/N: 21776906)","Gust Speed, m/s (LGR S/N: 21781579, SEN S/N: 21776906)","Wind Direction, ø (LGR S/N: 21781579, SEN S/N: 21776906)","Rain, mm (LGR S/N: 21781579, SEN S/N: 21777066)"
1,07/02/23 07:00:08 PM,-0.00023,747.550,1276.9,12.957,17.604,2.00,3.67,348.2,
2,07/02/23 07:15:08 PM,-0.00023,747.450,14.4,12.990,34.841,2.67,5.01,321.5,0.00
3,07/02/23 07:30:08 PM,-0.00023,747.450,14.4,12.668,31.691,3.01,6.01,324.3,0.00
4,07/02/23 07:45:08 PM,-0.00023,747.350,13.1,12.518,37.017,3.01,5.34,329.9,0.00
5,07/02/23 08:00:08 PM,-0.00023,747.450,11.9,12.904,29.734,2.34,5.34,328.5,0.00
6,07/02/23 08:15:08 PM,-0.00023,747.350,10.6,12.368,32.970,2.67,5.01,329.9,0.00
7,07/02/23 08:30:08 PM,-0.00023,747.350,8.1,11.660,34.069,2.00,4.01,311.7,0.00
8,07/02/23 08:45:08 PM,-0.00023,747.350,4.4,11.789,32.155,1.67,2.67,244.3,0.00
9,07/02/23 09:00:08 PM,-0.00023,747.250,0.6,10.823,40.896,1.00,2.34,249.9,0.00
10,07/02/23 09:15:08 PM,-0.00023,747.350,0.6,10.673,46.911,0.33,1.67,269.6,0.00
11,07/02/23 09:30:08 PM,-0.00023,747.250,0.6,10.287,44.714,0.33,2.00,294.8,0.00
12,07/02/23 09:45:08 PM,-0.00023,747.350,0.6,10.459,39.866,0.67,2.34,292.0,0.00
13,07/02/23 10:00:08 PM,-0.00023,747.350,0.6,10.244,39.312,1.00,2.34,279.4,0.00
14,07/02/23 10:15:08 PM,-0.00023,747.250,0.6,9.987,38.808,1.00,2.00,268.1,0.00
15,07/02/23 10:30:08 PM,-0.00023,747.250,0.6,10.888,37.383,1.34,4.01,314.5,0.00
16,07/02/23 10:45:08 PM,-0.00023,746.950,0.6,11.231,36.910,1.00,3.67,317.3,0.00
17,07/02/23 11:00:08 PM,-0.00023,746.950,0.6,11.124,37.841,1.00,2.00,311.7,0.00
18,07/02/23 11:15:08 PM,-0.00023,746.950,0.6,10.051,40.749,1.00,2.34,297.6,0.00
19,07/02/23 11:30:08 PM,-0.00023,746.850,0.6,9.858,42.872,1.00,3.01,293.4,0.00
20,07/02/23 11:45:08 PM,-0.00023,746.750,0.6,9.515,43.542,0.33,1.67,276.6,0.00
21,07/03/23 12:00:08 AM,-0.00023,746.750,0.6,10.437,39.779,1.34,3.01,325.7,0.00
22,07/03/23 12:15:08 AM,-0.00023,746.650,0.6,10.609,38.602,1.34,3.67,355.2,0.00
23,07/03/23 12:30:08 AM,-0.00023,746.650,0.6,10.459,40.388,2.00,5.68,338.3,0.00
24,07/03/23 12:45:08 AM,-0.00023,746.450,0.6,10.373,39.461,2.67,6.01,336.9,0.00
25,07/03/23 01:00:08 AM,-0.00023,746.450,0.6,10.459,37.955,2.67,6.35,332.7,0.00
26,07/03/23 01:15:08 AM,-0.00023,746.550,0.6,9.966,40.946,2.34,5.34,315.9,0.00
27,07/03/23 01:30:08 AM,-0.00023,746.450,0.6,10.201,39.274,2.34,4.68,313.1,0.00
28,07/03/23 01:45:08 AM,-0.00023,746.450,0.6,10.266,38.509,3.01,5.68,315.9,0.00
29,07/03/23 02:00:08 AM,-0.00023,746.250,0.6,9.987,39.145,3.01,5.01,321.5,0.00
30,07/03/23 02:15:08 AM,-0.00023,746.250,0.6,10.051,37.746,3.01,6.68,308.9,0.00
31,07/03/23 02:30:08 AM,-0.00023,746.250,0.6,10.137,35.941,3.01,5.34,308.9,0.00
32,07/03/23 02:45:08 AM,-0.00023,745.950,0.6,10.073,35.451,3.01,5.34,308.9,0.00
33,07/03/23 03:00:08 AM,-0.00023,746.050,0.6,9.987,35.184,2.67,6.01,306.1,0.00
34,07/03/23 03:15:08 AM,-0.00023,746.050,0.6,9.880,34.273,1.00,5.68,279.4,0.00
35,07/03/23 03:30:08 AM,-0.00023,746.050,0.6,10.330,32.726,1.34,5.68,285.0,0.00
36,07/03/23 03:45:08 AM,-0.00023,746.050,0.6,9.987,34.206,2.00,5.68,310.3,0.00
37,07/03/23 04:00:08 AM,-0.00023,745.850,0.6,9.987,35.048,2.67,5.68,301.8,0.00
38,07/03/23 04:15:08 AM,-0.00023,746.050,0.6,9.794,33.455,3.01,6.01,293.4,0.00
39,07/03/23 04:30:08 AM,-0.00023,745.850,0.6,9.966,33.199,2.67,6.01,289.2,0.00
40,07/03/23 04:45:08 AM,-0.00023,745.850,0.6,9.708,34.051,3.01,5.34,301.8,0.00
41,07/03/23 05:00:08 AM,-0.00023,745.750,0.6,10.137,30.584,3.01,6.35,307.5,0.00
42,07/03/23 05:15:08 AM,-0.00023,745.850,0.6,9.708,31.174,3.01,5.01,313.1,0.00
43,07/03/23 05:30:08 AM,-0.00023,745.750,6.9,9.644,32.357,2.67,5.34,304.7,0.00
44,07/03/23 05:45:08 AM,-0.00023,745.750,30.6,10.137,29.041,2.67,5.34,313.1,0.00
45,07/03/23 06:00:08 AM,-0.00023,745.750,71.9,10.330,27.379,2.67,4.68,315.9,0.00
46,07/03/23 06:15:08 AM,-0.00023,745.750,114.4,10.587,27.297,2.67,4.68,315.9,0.00
47,07/03/23 06:30:08 AM,-0.00023,745.850,154.4,11.531,25.374,2.34,5.01,290.6,0.00
48,07/03/23 06:45:08 AM,-0.00023,745.750,196.9,11.467,25.357,2.67,5.01,293.4,0.00
49,07/03/23 07:00:08 AM,-0.00023,745.750,241.9,11.960,24.546,2.67,5.01,285.0,0.00
50,07/03/23 07:15:08 AM,-0.00023,745.850,286.9,11.360,27.504,2.34,5.01,271.0,0.00
51,07/03/23 07:30:08 AM,-0.00023,745.850,333.1,11.617,25.695,1.67,3.34,290.6,0.00
52,07/03/23 07:45:08 AM,-0.00023,745.850,379.4,11.445,24.665,2.00,4.34,286.4,0.00
53,07/03/23 08:00:08 AM,-0.00023,745.750,423.1,10.931,25.719,2.67,6.35,314.5,0.00
54,07/03/23 08:15:08 AM,-0.00023,745.850,469.4,11.102,25.365,2.67,5.68,324.3,0.00
55,07/03/23 08:30:08 AM,-0.00023,745.850,513.1,10.587,28.978,2.34,5.34,314.5,0.00
56,07/03/23 08:45:08 AM,-0.00023,745.750,556.9,11.467,27.082,2.67,5.01,324.3,0.00
57,07/03/23 09:00:08 AM,-0.00023,745.850,596.9,12.218,23.255,1.67,5.01,301.8,0.00
58,07/03/23 09:15:08 AM,-0.00023,745.850,638.1,11.810,19.873,2.00,4.34,278.0,0.00
59,07/03/23 09:30:08 AM,-0.00023,745.850,678.1,11.574,22.678,1.67,5.01,324.3,0.00
60,07/03/23 09:45:08 AM,-0.00023,745.850,714.4,12.303,33.848,1.67,3.34,318.7,0.00
61,07/03/23 10:00:08 AM,-0.00023,745.850,750.6,13.740,24.353,0.67,2.34,332.7,0.00
62,07/03/23 10:15:08 AM,-0.00023,745.950,783.1,13.762,21.961,1.00,2.67,263.9,0.00
63,07/03/23 10:30:08 AM,-0.00023,745.850,811.9,14.491,31.765,0.33,1.67,286.4,0.00
64,07/03/23 10:45:08 AM,-0.00023,745.750,843.1,13.805,35.904,0.33,2.34,146.0,0.00
65,07/03/23 11:00:08 AM,-0.00023,745.950,869.4,12.711,41.723,0.67,1.67,217.6,0.00
66,07/03/23 11:15:08 AM,-0.00023,746.150,895.6,12.861,38.592,0.67,2.34,196.5,0.00
67,07/03/23 11:30:08 AM,-0.00023,746.150,919.4,15.092,33.312,0.33,1.34,233.1,0.00
68,07/03/23 11:45:08 AM,-0.00023,746.050,931.9,13.955,35.621,0.67,2.67,217.6,0.00
69,07/03/23 12:00:08 PM,-0.00023,745.950,950.6,14.856,33.570,0.67,1.34,252.7,0.00
70,07/03/23 12:15:08 PM,-0.00023,745.950,965.6,14.834,34.829,0.33,1.67,268.1,0.00
71,07/03/23 12:30:08 PM,-0.00023,745.950,975.6,15.199,29.943,0.33,1.34,23.9,0.00
72,07/03/23 12:45:08 PM,-0.00023,746.050,975.6,14.941,32.279,0.33,1.67,210.6,0.00
73,07/03/23 01:00:08 PM,-0.00023,746.350,974.4,14.083,34.257,0.67,2.34,230.2,0.00
74,07/03/23 01:15:08 PM,-0.00023,746.150,973.1,14.727,33.552,1.00,3.01,220.4,0.00
75,07/03/23 01:30:08 PM,-0.00023,746.250,965.6,13.569,34.971,1.00,3.67,198.0,0.00
76,07/03/23 01:45:08 PM,-0.00023,746.150,958.1,14.512,33.358,0.67,2.34,0.0,0.00
77,07/03/23 02:00:08 PM,-0.00023,746.350,941.9,12.818,38.016,2.00,3.67,299.0,0.00
78,07/03/23 02:15:08 PM,-0.00023,746.750,925.6,14.362,35.296,2.34,4.34,266.7,0.00
79,07/03/23 02:30:08 PM,-0.00023,746.450,904.4,13.290,39.106,3.34,6.35,256.9,0.00
80,07/03/23 02:45:08 PM,-0.00023,746.550,885.6,13.740,38.820,3.01,5.68,251.3,0.00
81,07/03/23 03:00:08 PM,-0.00023,746.650,858.1,14.083,38.042,3.67,6.35,254.1,0.00
82,07/03/23 03:15:08 PM,-0.00023,746.850,830.6,12.260,44.501,2.34,4.34,314.5,0.00
83,07/03/23 03:30:08 PM,-0.00023,746.850,803.1,14.362,38.570,2.00,4.34,268.1,0.00
84,07/03/23 03:45:08 PM,-0.00023,746.950,775.6,12.325,45.190,1.34,6.01,308.9,0.00
85,07/03/23 04:00:08 PM,-0.00023,746.950,740.6,12.196,45.652,2.67,5.34,320.1,0.00
86,07/03/23 04:15:08 PM,-0.00023,746.850,710.6,13.483,43.001,2.00,5.68,292.0,0.00
87,07/03/23 04:30:08 PM,-0.00023,746.850,673.1,13.547,42.011,1.67,5.68,313.1,0.00
88,07/03/23 04:45:08 PM,-0.00023,746.850,638.1,12.411,45.272,2.34,5.01,322.9,0.00
89,07/03/23 05:00:08 PM,-0.00023,746.950,595.6,12.668,41.083,1.67,6.68,324.3,0.00
90,07/03/23 05:15:08 PM,-0.00023,746.850,553.1,13.933,41.677,1.00,4.01,306.1,0.00
91,07/03/23 05:30:08 PM,-0.00023,746.950,510.6,12.046,46.682,1.34,5.01,304.7,0.00
92,07/03/23 05:45:08 PM,-0.00023,746.950,470.6,11.917,47.263,2.67,5.68,324.3,0.00
93,07/03/23 06:00:08 PM,-0.00023,746.850,424.4,13.783,35.821,1.00,2.67,15.4,0.00
94,07/03/23 06:15:08 PM,-0.00023,746.750,381.9,13.419,35.587,0.67,4.01,53.3,0.00
95,07/03/23 06:30:08 PM,-0.00023,746.850,334.4,11.831,40.047,1.00,3.67,150.2,0.00
96,07/03/23 06:45:08 PM,-0.00023,746.850,291.9,11.939,39.490,1.00,4.68,293.4,0.00
97,07/03/23 07:00:08 PM,-0.00023,746.950,24.4,11.145,41.408,0.67,3.34,317.3,0.00
98,07/03/23 07:15:08 PM,-0.00023,746.950,23.1,11.038,39.696,2.34,6.01,49.1,0.00
99,07/03/23 07:30:08 PM,-0.00023,746.950,21.9,10.845,40.972,1.67,5.01,63.2,0.00
100,07/03/23 07:45:08 PM,-0.00023,746.950,19.4,10.716,40.520,2.67,5.01,63.2,0.00
